# MJD residual_us
5.383920546539007046e+04 1.079663183967572992e+00
5.383920546540021314e+04 3.666401654943802768e-01
5.383920546541296062e+04 8.173886837523950399e-01
5.383921692624408024e+04 -5.060109952260829047e+00
5.383921692625141441e+04 6.671196788220275842e+00
5.383921692625255673e+04 -2.485647170958887042e-01
5.383921692625506694e+04 -7.314314668930405050e-01
5.383921692626025470e+04 3.841325928563551484e-01
5.383921692626660661e+04 -1.073205261738054306e+00
5.383921692626862932e+04 1.372230918379008457e+00
5.383921692627880839e+04 3.126053364889621822e+00
5.383921692629154859e+04 3.468214541246096960e+00
5.385816011885434273e+04 -5.512876126590287029e+00
5.385816011885543412e+04 -1.764675923405288893e+00
5.385816011886395427e+04 -4.583651182325601425e+00
5.385816011886719207e+04 -4.489698253078639567e+00
5.385816011887267814e+04 3.153786608955053250e+00
5.385816011887550121e+04 5.204816759550007887e+00
5.385816011888128560e+04 -4.795135662150606493e+00
5.385816011888378125e+04 5.978916929668620206e+00
5.385816011889014771e+04 2.822308553834703027e+00
5.385816011889206129e+04 8.986236187748684046e-01
5.385816011889898800e+04 1.370376823435189406e+00
5.385816011890048685e+04 1.984152698676083570e+00
5.385817262309815123e+04 -4.977394359055216100e+00
5.385817262309927901e+04 2.052478188820231253e+00
5.385817262310779188e+04 -1.023064149381424981e+00
5.385817262311102968e+04 -8.024374658858789422e-01
5.385817262311649392e+04 4.918989463436151510e+00
5.385817262311928789e+04 4.481652953949857299e+00
5.385817262312513049e+04 -6.429137594651850307e-01
5.385817262312749517e+04 -1.222083553015337110e+00
5.385817262313393439e+04 1.914260465530033262e+00
5.385817262313582614e+04 -1.654547663935222568e+00
5.385817262314276013e+04 -7.531969715398442178e-01
5.385817262314425170e+04 -3.329138570359794769e-01
5.385915049969101528e+04 -3.309679246117779083e+00
5.385915049969832035e+04 5.462187699466029223e+00
5.385915049969950633e+04 3.732727245775399272e+00
5.385915049970198743e+04 1.464439059029100931e-01
5.385915049970716791e+04 1.535662873835964559e+00
5.385915049971351982e+04 -1.429716770984488905e+00
5.385915049971552071e+04 2.426178224822956586e-01
5.385915049972572160e+04 2.577994610970332889e+00
5.385915049973843270e+04 4.472327368374169887e-01
5.385916091893680277e+04 -4.846705781869330210e+00
5.385916091894410056e+04 3.063082348103209895e+00
5.385916091894523561e+04 -2.765890297281125232e+00
5.385916091894776036e+04 -3.115317029099407886e+00
5.385916091895293357e+04 -1.961669062526435914e+00
5.385916091895932914e+04 -1.345448379524092353e+00
5.385916091896135185e+04 2.196750944343841550e+00
5.385916091897147271e+04 -2.003807562495652839e+00
