# MJD residual_seconds
5.379843226767086162e+04 -6.896875692760121760e-06
5.379843226767308079e+04 -7.117733611353519054e-06
5.379843226767532178e+04 -6.818355999520364489e-06
5.379843226767757733e+04 -6.872282957095587826e-06
5.379843226767986198e+04 -6.573373535107206270e-06
5.379843226768214663e+04 -7.425632278361543400e-06
5.379843226768446766e+04 -7.217790037452836436e-06
5.379844272700197325e+04 -8.979358584682780193e-06
5.379844272700403963e+04 -8.021305961594996274e-06
5.379844272700614965e+04 -4.920961322050465447e-06
5.379844272700825968e+04 -3.587148042090460499e-06
5.379844272701032605e+04 -7.283566454372146142e-06
5.379844272701249429e+04 -3.934604494710492068e-06
5.379844272701460432e+04 -6.848567013322186390e-06
5.379844272701677255e+04 -6.748663812990248311e-06
5.379844272701894806e+04 -7.257833037994893222e-06
5.379844272702115268e+04 -7.108693291078094456e-06
5.379844272702337184e+04 -6.975284722945670998e-06
5.379844272702560556e+04 -7.253295852771910721e-06
5.379844272702786839e+04 -7.084347419149896290e-06
5.379844272703014576e+04 -7.321702645364569640e-06
5.379844272703243769e+04 -7.527144349250986180e-06
5.379844272703475872e+04 -7.287056596851363581e-06
5.380034445245433017e+04 -6.555571027618418335e-06
5.380034445245641837e+04 -7.787097595309836406e-06
5.380034445245855750e+04 -5.660528245094180877e-06
5.380034445246068935e+04 -6.612264561549136409e-06
5.380034445246282849e+04 -7.462693108137804341e-06
5.380034445246501127e+04 -6.996520735968447700e-06
5.380034445246720134e+04 -7.324074863914409206e-06
5.380034445246942050e+04 -6.589578635434217128e-06
5.380034445247164695e+04 -6.786337545835811316e-06
5.380034445247388794e+04 -7.075789532959866011e-06
5.380034445247616532e+04 -6.744294097775178330e-06
